-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			6	12620		12712	0.729002	565	267.041	0.082348		13175	4.39778	16518	10280.4	10.4793		13273	5.17433	3931	1989.31	2.5047
			7	10826		11056	2.12452	1685	832.93	0.293995		11295	4.33216	14653	8413.21	9.04909		11455	5.81009	4478	2667.38	1.90705
			8	9554		9659	1.09902	1565	798.08	0.201764		9953	4.17626	13870	7491.56	8.2588		10010	4.77287	4373	2612.82	1.68906
			9	8499		8569	0.823626	1414	532.023	0.161905		8798	3.51806	12273	6380.72	7.45528		8826	3.84751	3727	1932.99	1.61996
			10	7580		7732	2.00528	1613	567.451	0.145762		8200	8.17942	14493	6620.9	6.68445		8197	8.13984	6263	2684.01	1.21553
			11	7084		7115	0.437606	2558	971.262	0.234568		7402	4.48899	13117	5574.77	6.09086		7435	4.95483	6078	2616.19	0.307315
			12	6412		6675	4.10168	4393	2037.11	0.3885		7090	10.5739	16463	6157.92	5.12017		7023	9.52901	8569	3783.45	0.095998
			13	5864		6019	2.64325	2540	1191.25	0.174393		6357	8.40723	13291	4886.13	4.89839		6404	9.20873	7545	3118.39	0.886608
			14	5441		5639	3.63904	3239	1114.33	0.21913		5934	9.06083	13303	4675.59	4.60798		5813	6.83698	5675	2488.4	0.359459
			15	5104		5263	3.1152	3238	1144.89	0.228997		5464	7.05329	11717	4111.45	4.81728		5463	7.0337	6238	2215.39	0.276145
			16	4850		4995	2.98969	4213	1426.94	0.27763		5180	6.80412	12353	3825.96	4.39023		5196	7.13402	7429	2591.9	0.134324
			17	4516		4722	4.56156	4567	1594.73	0.255453		4944	9.47741	13285	4740.56	3.91826		4946	9.5217	8375	2682.86	0.082205
			18	4317		4496	4.1464	5221	1833.42	0.293063		4754	10.1228	14619	4889.74	3.53611		4738	9.75214	9577	3824.88	0.056883
			19	4068		4299	5.67847	5974	1745.36	0.316812		4538	11.5536	15053	4551.72	3.30718		4511	10.8899	10002	3585.19	0.071353
			20	3882		4046	4.22463	5213	1642.23	0.266758		4378	12.7769	16231	4941.63	3.1164		4311	11.051	10513	3900.43	0.014125
			21	3691		3815	3.35952	4408	1335.02	0.125177		4113	11.4332	14779	4649.25	3.03916		4069	10.2411	5673	1775.45	0.031899
			22	3691		3694	0.0812788	5561	1720.9	0.001715		3967	7.47765	15534	4216.66	2.90452		3869	4.82254	9411	2912.73	0.025506

LUTZ2.IN2   	89	9	54		55	1.85185	10	6	0.00106		57	5.55556	85	50.0899	0.053711		57	5.55556	28	19.5959	0.009772
			10	49		51	4.08163	25	21.1424	0.001327		52	6.12245	87	46.5081	0.045252		51	4.08163	76	43.8178	0.041212
			11	45		45	0	10	4.89898	0.000668		47	4.44444	79	41.9643	0.0142		46	2.22222	21	9.84886	0.003854
			12	41		42	2.43902	19	8.42615	0.001064		42	2.43902	61	35.2562	0.06159		43	4.87805	31	15.1327	0.003119
			13	38		40	5.26316	35	23.8118	0.001394		39	2.63158	94	41.4246	0.030137		40	5.26316	35	24.2693	0.002784
			14	35		38	8.57143	47	24.0624	0.002521		38	8.57143	85	34.1321	0.071188		38	8.57143	47	16.5831	0.003245
			15	33		35	6.06061	40	26.6083	0.001652		34	3.0303	59	26.9629	0.038435		34	3.0303	25	10.1489	0.003005
			16	31		32	3.22581	27	9	0.001089		33	6.45161	76	28.7402	0.027085		33	6.45161	43	15.7797	0.002455
			17	29		31	6.89655	42	13.7113	0.00146		31	6.89655	73	26.4764	0.021496		31	6.89655	42	14.4222	0.02853
			18	28		29	3.57143	37	14.7986	0.01583		30	7.14286	85	27.2947	0.008716		29	3.57143	37	15.9687	0.034247
			19	26		28	7.69231	47	21.8403	0.020564		28	7.69231	84	26.6458	0.008977		28	7.69231	47	17.3494	0.012263
			20	25		27	8	55	22.6936	0.001492		26	4	85	26.8514	0.028584		26	4	35	12.8452	0.002445
			21	24		26	8.33333	35	12.9228	0.001547		26	8.33333	87	25.632	0.023376		26	8.33333	35	10.7238	0.001531
			22	23		25	8.69565	40	13.3417	0.001553		24	4.34783	75	22.383	0.008055		24	4.34783	67	21.5639	0.032595
			23	22		23	4.54545	44	13.5647	0.001476		23	4.54545	97	27.6225	0.01164		24	9.09091	43	13.8924	0.003484
			24	21		22	4.7619	43	12.53	0.036663		22	4.7619	82	21.9545	0.008324		22	4.7619	43	13.1529	0.021743
			25	20		21	5	40	13.1149	0.025205		21	5	70	19.2873	0.009172		22	10	65	16.3401	0.002117
			26	19		21	10.5263	40	12.4097	0.001683		21	10.5263	90	21.166	0.038073		21	10.5263	40	10.6771	0.002202
			27	19		20	5.26316	55	14.1774	0.00162		20	5.26316	108	26.533	0.046654		20	5.26316	55	16.5831	0.002048
			28	18		20	11.1111	55	17.2337	0.001717		19	5.55556	111	25.318	0.021337		19	5.55556	47	13.1529	0.002108

LUTZ3.IN2   	89	3	548		551	0.547445	9	8.06226	0.021742		552	0.729927	594	525.606	0.4772		551	0.547445	9	8.06226	0.273288
			4	411		420	2.18978	36	23.4094	0.019115		422	2.6764	466	411.57	0.353195		424	3.16302	52	35.7491	0.06914
			5	329		338	2.73556	46	41.1096	0.039418		342	3.95137	426	335.052	0.262219		344	4.55927	76	51.4782	0.063167
			6	275		281	2.18182	42	21.3073	0.00249		284	3.27273	344	275.59	0.260341		284	3.27273	60	51.788	0.056281
			7	236		243	2.9661	57	30.7083	0.024438		243	2.9661	300	232.818	0.194966		243	2.9661	57	27.1846	0.072234
			8	207		215	3.86473	76	43.8862	0.038069		215	3.86473	291	201.328	0.18126		216	4.34783	300	209.122	0.031334
			9	184		189	2.71739	57	24.0208	0.047281		189	2.71739	246	179.031	0.151263		191	3.80435	75	38.1445	0.03878
			10	165		176	6.66667	116	68.1175	0.046802		175	6.06061	281	163.11	0.153255		177	7.27273	126	59.6154	0.035721
			11	151		159	5.29801	105	42.9302	0.004635		166	9.93377	348	168.03	0.142063		165	9.27152	171	87.4243	0.007994
