-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			11	320		324	1.25	54	21.0713	0.002329		335	4.6875	510	313.021	0.127802		335	4.6875	175	149.469	0.025447
			12	294		300	2.04082	90	32.1248	0.003539		300	2.04082	390	287.044	0.114217		300	2.04082	90	32.1248	0.014462
			13	271		277	2.21402	91	40.6571	0.002776		277	2.21402	368	248.387	0.11451		277	2.21402	91	40.6571	0.019752
			14	251		257	2.39044	88	34.7563	0.002868		257	2.39044	400	246.917	0.125528		257	2.39044	88	34.7563	0.010254
			15	235		244	3.82979	150	50.5569	0.004703		244	3.82979	427	227.115	0.116708		244	3.82979	150	50.5569	0.008033
			16	221		227	2.71493	122	39.7995	0.003062		227	2.71493	349	213.923	0.120858		227	2.71493	122	39.7995	0.01709
			17	208		216	3.84615	162	59.0424	0.007988		221	6.25	483	239.906	0.10437		221	6.25	247	107.615	0.005704
			18	196		204	4.08163	162	69.3109	0.003676		207	5.61224	463	212.488	0.121452		207	5.61224	216	93.8829	0.030935
			19	186		202	8.60215	328	149.426	0.007679		202	8.60215	612	191.734	0.071464		202	8.60215	328	149.426	0.009052
			20	177		186	5.08475	210	56.7274	0.010084		202	14.1243	732	253.665	0.072882		202	14.1243	328	149.426	0.00249
			21	170		178	4.70588	228	75.326	0.00899		178	4.70588	465	173.312	0.071425		178	4.70588	228	75.326	0.012776
			22	162		177	9.25926	384	122.589	0.007488		177	9.25926	561	194.291	0.10603		177	9.25926	384	122.589	0.003687
			23	156		164	5.12821	262	65.3605	0.004173		164	5.12821	426	160.393	0.120663		164	5.12821	262	65.3605	0.018445
			24	156		157	0.641026	258	90.9835	0.000877		157	0.641026	474	167.595	0.068369		157	0.641026	258	90.9835	0.01227
			25	156		156	0	390	129.314	0.00038		151	-3.20513	475	173.589	0.066575		156	0	390	129.314	0.002589

WEE-MAG.IN2   	75	3	500		503	0.6	10	9.05539	0.001589		503	0.6	513	499.098	0.193378		503	0.6	10	9.05539	0.090016
			4	375		379	1.06667	17	16.0312	0.001964		379	1.06667	396	369.343	0.159721		379	1.06667	17	16.0312	0.036073
