-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			7	502		505	0.59761	25	12.6095	0.002196		505	0.59761	530	473.605	0.231048		505	0.59761	25	12.6095	0.060685
			8	439		445	1.36674	50	21.4476	0.003636		445	1.36674	510	428.28	0.210919		445	1.36674	50	21.4476	0.0534
			9	391		396	1.27877	54	29.7321	0.003345		396	1.27877	450	356.014	0.181281		396	1.27877	54	29.7321	0.047892
			10	352		357	1.42045	60	23.6643	0.005446		357	1.42045	417	343.16	0.177307		357	1.42045	60	23.6643	0.046453
			11	320		324	1.25	54	21.0713	0.003057		335	4.6875	510	313.021	0.164071		335	4.6875	175	149.469	0.011702
			12	294		300	2.04082	90	32.1248	0.005577		300	2.04082	390	287.044	0.149166		300	2.04082	90	32.1248	0.016809
			13	271		277	2.21402	91	40.6571	0.003872		277	2.21402	368	248.387	0.144763		277	2.21402	91	40.6571	0.016994
			14	251		257	2.39044	88	34.7563	0.005547		257	2.39044	400	246.917	0.142032		257	2.39044	88	34.7563	0.02023
			15	235		244	3.82979	150	50.5569	0.00656		244	3.82979	427	227.115	0.124544		244	3.82979	150	50.5569	0.013663
			16	221		227	2.71493	122	39.7995	0.005725		227	2.71493	349	213.923	0.120415		227	2.71493	122	39.7995	0.013672
			17	208		216	3.84615	162	59.0424	0.006792		221	6.25	483	239.906	0.116939		221	6.25	247	107.615	0.00859
			18	196		204	4.08163	162	69.3109	0.005494		207	5.61224	463	212.488	0.114555		207	5.61224	216	93.8829	0.009571
			19	186		202	8.60215	328	149.426	0.012732		202	8.60215	612	191.734	0.103049		202	8.60215	328	149.426	0.005698
			20	177		186	5.08475	210	56.7274	0.006908		202	14.1243	732	253.665	0.094033		202	14.1243	328	149.426	0.003849
			21	170		178	4.70588	228	75.326	0.008258		178	4.70588	465	173.312	0.099796		178	4.70588	228	75.326	0.007342
			22	162		177	9.25926	384	122.589	0.01202		177	9.25926	561	194.291	0.091897		177	9.25926	384	122.589	0.005433
			23	156		164	5.12821	262	65.3605	0.00527		164	5.12821	426	160.393	0.087783		164	5.12821	262	65.3605	0.023821
			24	156		157	0.641026	258	90.9835	0.001193		157	0.641026	474	167.595	0.088688		157	0.641026	258	90.9835	0.012511
			25	156		156	0	390	129.314	0.000775		151	-3.20513	475	173.589	0.084379		156	0	390	129.314	0.00373

WEE-MAG.IN2   	75	3	500		503	0.6	10	9.05539	0.002968		503	0.6	513	499.098	0.224706		503	0.6	10	9.05539	0.126093
			4	375		379	1.06667	17	16.0312	0.005176		379	1.06667	396	369.343	0.192625		379	1.06667	17	16.0312	0.042572
			5	300		302	0.666667	11	7.68115	0.002218		302	0.666667	317	292.529	0.149701		302	0.666667	11	7.68115	0.036171
			6	250		251	0.4	7	6.08276	0.001452		253	1.2	272	243.409	0.123891		253	1.2	19	12.1244	0.032127
			7	215		217	0.930233	20	16.3095	0.001894		217	0.930233	237	211.393	0.117638		217	0.930233	20	16.3095	0.030166
			8	188		191	1.59574	29	16.9411	0.00239		191	1.59574	220	181.764	0.102619		191	1.59574	29	16.9411	0.024484
			9	167		172	2.99401	49	38.5097	0.003904		172	2.99401	221	164.058	0.091783		172	2.99401	49	38.5097	0.023738
			10	150		155	3.33333	51	25.5539	0.003524		155	3.33333	206	152.493	0.085646		155	3.33333	51	25.5539	0.019153
			11	137		139	1.45985	30	11.9164	0.002031		139	1.45985	169	120.42	0.079388		139	1.45985	30	11.9164	0.019646
			12	125		132	5.6	85	34.2199	0.005616		132	5.6	217	130.572	0.068242		132	5.6	85	34.2199	0.014991
