-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
MUKHERJE.IN2   	94	3	1403		1410	0.498931	22	16.5529	0.041985		1410	0.498931	1432	1311.17	1.82953		1410	0.498931	22	16.5529	0.916465
			4	1052		1054	0.190114	8	5.09902	0.001354		1054	0.190114	1062	955.316	1.44797		1054	0.190114	8	5.09902	0.380085
			5	844		860	1.89573	92	70.214	0.029865		860	1.89573	952	765.518	1.1262		860	1.89573	92	70.214	0.27033
			6	704		711	0.994318	58	33.3167	0.007323		717	1.84659	811	622.427	1.17534		717	1.84659	94	52.8015	0.257397
			7	621		624	0.483092	160	140.449	0.06672		624	0.483092	784	547.054	0.803984		624	0.483092	160	140.449	0.199816
			8	532		545	2.44361	152	103.865	0.032605		545	2.44361	697	461.464	0.739034		545	2.44361	152	103.865	0.19991
			9	471		484	2.76008	148	67.2904	0.042901		484	2.76008	632	400.372	0.629393		484	2.76008	148	67.2904	0.166847
			10	424		441	4.00943	202	105.423	0.043001		441	4.00943	771	375.045	0.615734		441	4.00943	202	105.423	0.122555
			11	391		398	1.79028	170	102.264	0.02759		398	1.79028	568	319.431	0.557535		398	1.79028	170	102.264	0.098522
			12	358		364	1.67598	160	73.171	0.056964		367	2.51397	563	293.136	0.510638		367	2.51397	196	81.6088	0.121213
			13	325		336	3.38462	160	61.8708	0.010575		336	3.38462	496	256.18	0.438261		336	3.38462	160	61.8708	0.1156
			14	311		326	4.82315	356	142.745	0.065219		326	4.82315	682	280.838	0.390196		326	4.82315	356	142.745	0.013772
			15	288		303	5.20833	337	124.326	0.013018		303	5.20833	743	329.892	0.397153		303	5.20833	337	124.326	0.054631
			16	268		282	5.22388	304	107.722	0.014556		282	5.22388	714	254.444	0.356664		282	5.22388	304	107.722	0.090742
			17	251		263	4.78088	263	96.4728	0.010736		263	4.78088	654	237.036	0.377915		263	4.78088	263	96.4728	0.086364
			18	239		251	5.02092	310	114.429	0.056594		251	5.02092	561	213.267	0.32852		251	5.02092	310	114.429	0.08236
			19	226		244	7.9646	428	183.706	0.028331		244	7.9646	672	240.25	0.338446		244	7.9646	428	183.706	0.025919
			20	220		243	10.4545	652	237.478	0.086195		243	10.4545	895	272.053	0.285187		243	10.4545	652	237.478	0.004549
			21	208		224	7.69231	496	172.377	0.050692		231	11.0577	874	268.909	0.287257		231	11.0577	643	222.416	0.017891
			22	200		209	4.5	390	142.738	0.036565		209	4.5	599	172.988	0.280828		209	4.5	390	142.738	0.064369
			23	189		202	6.87831	438	141.244	0.035483		202	6.87831	640	198	0.255545		202	6.87831	438	141.244	0.037899
			24	179		189	5.58659	328	100.02	0.044331		189	5.58659	620	215.694	0.308807		189	5.58659	328	100.02	0.060606
			25	172		180	4.65116	292	99.0959	0.005612		180	4.65116	575	218.149	0.297069		180	4.65116	292	99.0959	0.034651
			26	171		179	4.67836	446	159.217	0.005014		179	4.67836	625	206.865	0.248791		179	4.67836	446	159.217	0.042485

ARC111.IN2   	111	3	50133		51274	2.27595	3423	3376.33	1.68697		51274	2.27595	54788	nan	77.0189		51274	2.27595	3423	3376.33	36.6928
			4	37600		38272	1.78723	2689	1791.91	1.03233		38272	1.78723	41052	38154	56.519		38272	1.78723	2689	1791.91	14.0355
			5	30080		31328	4.14894	6241	4251.97	1.94798		31328	4.14894	39238	31728.8	45.5349		31328	4.14894	6241	4251.97	9.51574
			6	25067		25681	2.44944	3687	2750.84	0.974423		25681	2.44944	30310	25789.5	40.7022		25681	2.44944	3687	2750.84	11.6735
			7	21486		22266	3.63027	5463	4466.52	1.77154		22416	4.3284	29344	22535.9	41.1203		22416	4.3284	6513	4714.24	9.45758
			8	18800		19790	5.26596	7921	5234.62	2.08514		19790	5.26596	29907	19909.8	32.0297		19790	5.26596	7921	5234.62	6.74013
