-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			8	188		192	2.12766	37	17.2337	0.002009		192	2.12766	254	173.459	0.117517		192	2.12766	37	17.2337	0.033492
			9	167		174	4.19162	67	28.0179	0.002959		174	4.19162	241	153.333	0.112254		174	4.19162	67	28.0179	0.029787
			10	150		156	4	61	27.037	0.002358		156	4	242	150.778	0.098782		156	4	61	27.037	0.029261
			11	137		144	5.10949	85	41.8927	0.002769		144	5.10949	229	125.638	0.075436		144	5.10949	85	41.8927	0.00853
			12	125		131	4.8	73	28.1603	0.002439		131	4.8	229	126.471	0.087069		131	4.8	73	28.1603	0.028834
			13	116		121	4.31034	74	28.2489	0.002874		121	4.31034	220	107.796	0.084119		121	4.31034	74	28.2489	0.019652
			14	108		113	4.62963	83	30.5778	0.00265		113	4.62963	221	100.802	0.078225		113	4.62963	83	30.5778	0.019193
			15	100		108	8	121	39.2556	0.003285		108	8	229	94.8736	0.054546		108	8	121	39.2556	0.01311
			16	94		99	5.31915	85	30.05	0.002605		99	5.31915	184	82.6801	0.064165		99	5.31915	85	30.05	0.019717
			17	89		94	5.61798	99	37	0.002369		94	5.61798	193	80.0812	0.065379		94	5.61798	99	37	0.018464
			18	84		90	7.14286	121	51.8941	0.002849		90	7.14286	236	84.9706	0.083437		90	7.14286	121	51.8941	0.005577
			19	84		88	4.7619	173	59.2199	0.003759		88	4.7619	286	87.3155	0.051188		88	4.7619	173	59.2199	0.00286
			20	77		83	7.79221	161	44.3734	0.031668		83	7.79221	244	75.0467	0.053321		83	7.79221	161	44.3734	0.00437
			21	72		79	9.72222	160	43.6807	0.003157		79	9.72222	239	73.437	0.048224		79	9.72222	160	43.6807	0.027215
			22	69		74	7.24638	129	46.8508	0.009232		74	7.24638	203	67.5648	0.042572		74	7.24638	129	46.8508	0.005176
			23	66		71	7.57576	134	42.2137	0.002476		71	7.57576	205	66.5207	0.05906		71	7.57576	134	42.2137	0.004288
			24	66		69	4.54545	157	59.2706	0.002831		69	4.54545	226	67.6905	0.041568		69	4.54545	157	59.2706	0.002836
			25	66		68	3.0303	201	64.4593	0.003552		68	3.0303	294	78.3582	0.032074		68	3.0303	201	64.4593	0.00215
			26	65		67	3.07692	243	62.8729	0.003958		67	3.07692	335	81.3327	0.083		67	3.07692	243	62.8729	0.002783
			27	63		66	4.7619	283	66.3099	0.004498		66	4.7619	349	81.2096	0.040921		66	4.7619	283	66.3099	0.002656
