-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			18	196		206	5.10204	198	84.5695	0.004195		206	5.10204	404	172.714	0.118357		206	5.10204	198	84.5695	0.039312
			19	186		202	8.60215	328	143.199	0.010011		202	8.60215	530	185.483	0.104211		202	8.60215	328	143.199	0.011471
			20	177		193	9.03955	350	109.618	0.018541		193	9.03955	561	203.335	0.099307		193	9.03955	350	109.618	0.019952
			21	170		184	8.23529	354	113.982	0.006954		184	8.23529	538	161.734	0.111023		184	8.23529	354	113.982	0.025578
			22	162		176	8.64198	362	93.0806	0.017374		176	8.64198	538	184.261	0.093647		176	8.64198	362	93.0806	0.006293
			23	156		162	3.84615	216	81.5107	0.004227		162	3.84615	378	123.742	0.100999		162	3.84615	216	81.5107	0.021324
			24	156		156	0	234	71.3442	0.00037		155	-0.641026	365	113.671	0.082277		156	0	234	71.3442	0.012437
			25	156		156	0	234	71.3442	0.000368		149	-4.48718	462	162.481	0.099615		156	0	234	71.3442	0.002164

WEE-MAG.IN2   	75	3	500		501	0.2	4	3.16228	0.001129		501	0.2	505	476.667	0.362132		501	0.2	4	3.16228	0.192058
			4	375		377	0.533333	9	5.74456	0.021169		377	0.533333	386	352.701	0.262776		377	0.533333	9	5.74456	0.067735
			5	300		302	0.666667	11	7.54983	0.001595		302	0.666667	313	277.991	0.256208		302	0.666667	11	7.54983	0.055133
			6	250		252	0.8	13	7.81025	0.001578		252	0.8	265	228.05	0.177107		252	0.8	13	7.81025	0.038454
			7	215		217	0.930233	20	11.0454	0.001961		217	0.930233	237	193.331	0.147902		217	0.930233	20	11.0454	0.055602
			8	188		192	2.12766	37	19.8746	0.003011		192	2.12766	229	169.673	0.144717		192	2.12766	37	19.8746	0.028358
			9	167		172	2.99401	49	31.257	0.002835		172	2.99401	221	150.157	0.156127		172	2.99401	49	31.257	0.016658
			10	150		152	1.33333	21	10.8167	0.001844		152	1.33333	198	133.656	0.135229		152	1.33333	21	10.8167	0.076901
			11	137		142	3.64963	63	39.3065	0.002963		142	3.64963	205	122.168	0.111673		142	3.64963	63	39.3065	0.016693
			12	125		129	3.2	49	19.0526	0.020708		129	3.2	178	108.028	0.152228		129	3.2	49	19.0526	0.022997
			13	116		119	2.58621	48	20.7364	0.012209		119	2.58621	167	98.9899	0.090019		119	2.58621	48	20.7364	0.047279
			14	108		113	4.62963	83	45.5961	0.003188		113	4.62963	221	100.742	0.104981		113	4.62963	83	45.5961	0.004556
			15	100		106	6	91	33.5112	0.003543		106	6	197	89.4707	0.095686		106	6	91	33.5112	0.013245
			16	94		98	4.25532	69	30.7409	0.006006		98	4.25532	167	77.9038	0.102542		98	4.25532	69	30.7409	0.009707
			17	89		92	3.37079	65	31.225	0.033957		92	3.37079	157	74.6659	0.063091		92	3.37079	65	31.225	0.019936
			18	84		91	8.33333	139	72.6567	0.032751		91	8.33333	230	82.6075	0.078114		91	8.33333	139	72.6567	0.00321
			19	84		87	3.57143	154	45.8258	0.004673		87	3.57143	241	79.4166	0.085141		87	3.57143	154	45.8258	0.019652
			20	77		79	2.5974	81	23.7697	0.003886		79	2.5974	160	60.9918	0.093962		79	2.5974	81	23.7697	0.016417
			21	72		75	4.16667	76	20.199	0.026822		75	4.16667	151	57.8533	0.086068		75	4.16667	76	20.199	0.004463
			22	69		72	4.34783	85	40.4104	0.002404		72	4.34783	157	57.1227	0.087283		72	4.34783	85	40.4104	0.003544
			23	66		70	6.06061	111	49.4672	0.003045		70	6.06061	181	59.3717	0.068235		70	6.06061	111	49.4672	0.003333
			24	66		68	3.0303	133	44.441	0.003425		68	3.0303	248	71.4983	0.078835		68	3.0303	133	44.441	0.004982
			25	66		68	3.0303	133	44.441	0.01358		68	3.0303	269	74.2226	0.025609		68	3.0303	133	44.441	0.002869
			26	65		67	3.07692	243	70.6895	0.00531		67	3.07692	310	77.7689	0.047793		67	3.07692	243	70.6895	0.020516
			27	63		65	3.1746	256	62.2254	0.012648		65	3.1746	392	87.2926	0.057339		65	3.1746	256	62.2254	0.003433
			28	63		65	3.1746	256	62.2254	0.021172		65	3.1746	411	89.3364	0.042149		65	3.1746	256	62.2254	0.003104
