-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			22	73		85	16.4384	322	106.892	0.035122		85	16.4384	407	119.528	0.03846		85	16.4384	322	106.892	0.00176
			23	69		81	17.3913	315	102.621	0.003621		81	17.3913	411	117.137	0.022132		81	17.3913	315	102.621	0.001801
			24	66		78	18.1818	324	91.4112	0.003613		78	18.1818	417	113.882	0.019541		78	18.1818	324	91.4112	0.001544
			25	64		75	17.1875	327	87.7553	0.004622		75	17.1875	424	99.7697	0.020477		75	17.1875	327	87.7553	0.001532
			26	64		72	12.5	324	81.1295	0.004127		72	12.5	418	101.371	0.02241		72	12.5	324	81.1295	0.001531
			27	60		68	13.3333	288	78.6511	0.002985		68	13.3333	378	93.2202	0.021977		68	13.3333	288	78.6511	0.001906
			28	59		67	13.5593	328	86.2206	0.003139		67	13.5593	417	95.7236	0.039952		67	13.5593	328	86.2206	0.001643
			29	56		66	17.8571	366	88.7356	0.004426		66	17.8571	432	103.441	0.040727		64	14.2857	372	92.7577	0.001549

TONGE70.IN2   	70	3	1170		1178	0.683761	24	17.2047	0.001874		1178	0.683761	1202	1152.42	0.582161		1178	0.683761	24	17.2047	0.330209
			4	878		887	1.02506	38	28.8097	0.002472		887	1.02506	984	862.67	0.415969		887	1.02506	38	28.8097	0.10925
			5	702		723	2.99145	105	82.5893	0.004848		723	2.99145	887	711.832	0.333178		723	2.99145	105	82.5893	0.071913
			6	585		596	1.88034	66	36.3043	0.002657		596	1.88034	721	573.621	0.294649		596	1.88034	66	36.3043	0.07052
			7	502		521	3.78486	137	91.0988	0.010083		521	3.78486	717	505.394	0.233621		521	3.78486	137	91.0988	0.063304
			8	439		458	4.32802	154	101.882	0.00504		458	4.32802	638	452.767	0.228865		458	4.32802	154	101.882	0.056939
			9	391		402	2.8133	108	44.2945	0.003208		402	2.8133	510	379.492	0.202914		402	2.8133	108	44.2945	0.038939
			10	352		373	5.96591	220	112.446	0.005704		373	5.96591	652	382.643	0.178609		373	5.96591	220	112.446	0.037351
			11	320		341	6.5625	241	97.5449	0.011897		341	6.5625	608	341.626	0.140727		341	6.5625	241	97.5449	0.043676
			12	294		329	11.9048	438	167.362	0.010508		329	11.9048	811	362.347	0.186948		329	11.9048	438	167.362	0.006478
			13	271		299	10.3321	377	140.957	0.007883		299	10.3321	763	287.38	0.118698		299	10.3321	377	140.957	0.021872
			14	251		270	7.56972	270	106.827	0.005947		270	7.56972	566	276.648	0.131532		270	7.56972	270	106.827	0.042118
			15	235		269	14.4681	525	251.08	0.021243		269	14.4681	794	309.105	0.103223		269	14.4681	525	251.08	0.002677
			16	221		244	10.4072	394	159.009	0.007274		244	10.4072	725	236.167	0.14617		244	10.4072	394	159.009	0.019026
			17	208		243	16.8269	621	216.271	0.021319		243	16.8269	864	307.47	0.111519		243	16.8269	621	216.271	0.002672
			18	196		226	15.3061	558	195.141	0.008729		226	15.3061	784	288.402	0.187801		226	15.3061	558	195.141	0.007023
			19	186		216	16.129	594	223.732	0.009444		216	16.129	836	288.881	0.150001		216	16.129	594	223.732	0.005168
			20	177		208	17.5141	650	238.063	0.024015		208	17.5141	884	301.983	0.08125		208	17.5141	650	238.063	0.004131
			21	170		205	20.5882	795	257.455	0.015486		205	20.5882	1026	295.584	0.086924		205	20.5882	795	257.455	0.002674
			22	162		196	20.9877	802	237.061	0.012047		196	20.9877	1042	300.207	0.085105		196	20.9877	802	237.061	0.002479
			23	156		181	16.0256	653	168.739	0.020493		181	16.0256	893	243.801	0.070248		181	16.0256	653	168.739	0.007418
			24	156		178	14.1026	762	200.195	0.017338		178	14.1026	999	278.433	0.070396		178	14.1026	762	200.195	0.019357
			25	156		158	1.28205	440	127.75	0.017283		158	1.28205	657	197.997	0.075301		158	1.28205	440	127.75	0.02519

WEE-MAG.IN2   	75	3	500		503	0.6	10	8.24621	0.001162		503	0.6	513	478.724	0.260065		503	0.6	10	8.24621	0.114553
			4	375		383	2.13333	33	23.3452	0.002383		383	2.13333	416	359.341	0.189522		383	2.13333	33	23.3452	0.038085
			5	300		310	3.33333	51	26.5895	0.01459		310	3.33333	361	287.202	0.11913		310	3.33333	51	26.5895	0.03295
			6	250		255	2	31	16.3401	0.00323		255	2	286	231.931	0.133347		255	2	31	16.3401	0.02372
			7	215		224	4.18605	69	30.9031	0.003525		224	4.18605	293	202.798	0.107618		224	4.18605	69	30.9031	0.022406
			8	188		196	4.25532	69	31.257	0.004209		196	4.25532	265	175.411	0.089888		196	4.25532	69	31.257	0.023673
			9	167		178	6.58683	103	41.4849	0.003313		178	6.58683	281	160.633	0.084209		178	6.58683	103	41.4849	0.010049
			10	150		160	6.66667	101	41.1218	0.003402		160	6.66667	261	143.517	0.103643		160	6.66667	101	41.1218	0.01981
			11	137		145	5.83942	96	35.8329	0.010668		145	5.83942	241	127.707	0.068392		145	5.83942	96	35.8329	0.022872
			12	125		130	4	61	26.4764	0.001901		130	4	240	115.741	0.067471		130	4	61	26.4764	0.019929
			13	116		122	5.17241	87	36.647	0.002099		125	7.75862	251	111.987	0.065539		125	7.75862	126	45.7821	0.005819
			14	108		115	6.48148	111	50.3686	0.002354		115	6.48148	226	99.6995	0.040835		115	6.48148	111	50.3686	0.024998
			15	100		112	12	181	55.5428	0.003717		112	12	293	105.19	0.038583		112	12	181	55.5428	0.002442
			16	94		101	7.44681	117	36.8103	0.004103		101	7.44681	267	94.8103	0.055952		101	7.44681	117	36.8103	0.005281
			17	89		95	6.74157	116	37.7889	0.002172		95	6.74157	211	83.6361	0.045595		95	6.74157	116	37.7889	0.017813
			18	84		93	10.7143	175	53.1695	0.003003		93	10.7143	268	90.1221	0.033785		93	10.7143	175	53.1695	0.021336
			19	84		91	8.33333	230	69.8713	0.014159		91	8.33333	321	94.8103	0.039435		91	8.33333	230	69.8713	0.009884
			20	77		87	12.987	241	68.4178	0.015419		87	12.987	353	94.7365	0.034744		87	12.987	241	68.4178	0.014623
			21	72		79	9.72222	160	41.7373	0.002555		79	9.72222	288	78.8162	0.034661		79	9.72222	160	41.7373	0.003507
			22	69		76	10.1449	173	44.5758	0.002659		76	10.1449	249	71.7008	0.025237		76	10.1449	173	44.5758	0.002118
			23	66		72	9.09091	157	46.5296	0.00228		72	9.09091	229	71.8401	0.049561		72	9.09091	157	46.5296	0.003801
			24	66		71	7.57576	205	68.7532	0.003208		71	7.57576	276	76.0132	0.043657		71	7.57576	205	68.7532	0.012432
			25	66		70	6.06061	251	72.4638	0.003385		70	6.06061	321	82.7466	0.032293		70	6.06061	251	72.4638	0.006991
			26	65		69	6.15385	295	78.9367	0.003782		69	6.15385	389	91.351	0.039837		69	6.15385	295	78.9367	0.024616
			27	63		68	7.93651	337	77.5822	0.014464		68	7.93651	405	91.7551	0.024437		67	6.34921	377	87.3899	0.002127
			28	63		66	4.7619	349	83.1324	0.004181		66	4.7619	415	89.6716	0.03506		65	3.1746	386	85.0882	0.001858
			29	63		65	3.1746	386	85.0882	0.004528		65	3.1746	476	96.1873	0.033089		62	-1.5873	423	84.7172	0.002022
